City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Hualmay,PE,2022-01-07 19:59:16,-11.0964,-77.6139,74.46,75,47,8.34
232,Inhambane,MZ,2022-01-07 19:59:17,-23.865,35.3833,78.78,78,20,9.22
233,Katherine,AU,2022-01-07 19:59:17,-14.4667,132.2667,79.12,94,23,0.0
234,Deputatskiy,RU,2022-01-07 19:59:17,69.3,139.9,-16.29,95,100,0.92
235,Kruisfontein,ZA,2022-01-07 19:59:18,-34.0033,24.7314,69.89,93,100,12.24
236,Grand Gaube,MU,2022-01-07 19:59:18,-20.0064,57.6608,79.38,81,100,3.0
237,Saint-Leu,RE,2022-01-07 19:59:18,-21.15,55.2833,76.06,78,100,0.49
238,Guerrero Negro,MX,2022-01-07 19:59:19,27.9769,-114.0611,68.27,46,95,2.93
239,Leningradskiy,RU,2022-01-07 19:59:19,69.3833,178.4167,-8.37,99,100,4.83
240,Faya,SA,2022-01-07 19:59:19,18.3851,42.4509,55.51,79,9,1.23
241,Solnechnyy,RU,2022-01-07 19:59:20,50.7214,136.6319,-17.48,99,39,2.44
242,Vila Velha,BR,2022-01-07 19:59:07,-20.3297,-40.2925,80.55,93,100,3.0
243,Jinchang,CN,2022-01-07 19:59:20,38.4953,102.1739,25.57,51,100,1.16
244,Sorochinsk,RU,2022-01-07 19:59:20,52.4338,53.1583,31.32,86,100,16.17
245,Comodoro Rivadavia,AR,2022-01-07 19:55:03,-45.8667,-67.5,76.86,33,0,20.71
246,Nefteyugansk,RU,2022-01-07 19:55:00,61.0998,72.6035,25.05,92,100,17.16
247,Yar-Sale,RU,2022-01-07 19:59:21,66.8333,70.8333,7.72,95,100,12.35
248,Thyolo,MW,2022-01-07 19:59:21,-16.0678,35.1405,67.17,93,100,0.94
249,Ishigaki,JP,2022-01-07 19:59:21,24.3448,124.1572,68.9,76,100,22.08
250,Saskylakh,RU,2022-01-07 19:59:21,71.9167,114.0833,-31.38,100,60,3.56
251,Meulaboh,ID,2022-01-07 19:59:22,4.1363,96.1285,76.15,93,93,4.05
252,Hamilton,US,2022-01-07 19:54:42,39.1834,-84.5333,21.96,71,21,1.99
253,Kedrovyy,RU,2022-01-07 19:59:22,56.1667,91.8167,-12.14,100,66,4.18
254,Nemuro,JP,2022-01-07 19:59:22,43.3236,145.575,22.32,70,76,9.91
255,Bilibino,RU,2022-01-07 19:59:23,68.0546,166.4372,3.4,89,100,4.88
256,Olafsvik,IS,2022-01-07 19:59:23,64.8945,-23.7142,35.71,81,86,19.55
257,Paranaiba,BR,2022-01-07 19:59:23,-19.6772,-51.1908,78.98,78,85,3.83
258,Paamiut,GL,2022-01-07 19:59:24,61.994,-49.6678,22.66,86,100,21.14
259,Ramganj Mandi,IN,2022-01-07 19:59:24,24.65,75.9333,60.85,95,9,5.37
260,Graham,US,2022-01-07 19:59:24,47.0529,-122.2943,43.77,87,100,3.0
261,Kudat,MY,2022-01-07 19:59:25,6.8837,116.8477,78.73,89,20,2.3
262,Gurupi,BR,2022-01-07 19:59:25,-11.7292,-49.0686,80.96,80,100,5.08
263,Padang,ID,2022-01-07 19:59:25,-0.9492,100.3543,77.97,88,71,3.53
264,Aberdeen,GB,2022-01-07 19:59:25,57.1437,-2.0981,36.5,78,0,16.11
265,Viedma,AR,2022-01-07 19:59:26,-40.8135,-62.9967,96.37,17,3,4.88
266,Sao Jose Da Coroa Grande,BR,2022-01-07 19:59:26,-8.8978,-35.1478,81.79,73,24,12.08
267,Road Town,VG,2022-01-07 19:59:26,18.4167,-64.6167,82.44,69,40,13.8
268,Galveston,US,2022-01-07 19:59:27,29.3669,-94.9669,51.04,87,65,12.12
269,Labuhan,ID,2022-01-07 19:59:27,-6.8844,112.2051,76.93,83,99,8.39
270,Dinghai,CN,2022-01-07 19:59:27,26.2847,119.7936,50.92,78,78,13.44
271,Kopervik,NO,2022-01-07 19:59:27,59.2835,5.3067,39.67,93,75,11.5
272,Durusu,TR,2022-01-07 19:59:28,41.3053,28.6767,51.98,93,100,18.99
273,Alugan,PH,2022-01-07 19:59:28,12.2188,125.4808,76.5,86,10,6.8
274,Inta,RU,2022-01-07 20:00:28,66.0317,60.1659,-0.04,95,95,5.91
275,Ancud,CL,2022-01-07 20:00:29,-41.8697,-73.8203,76.23,73,10,11.65
276,Puerto Narino,CO,2022-01-07 20:00:29,-3.7703,-70.3831,78.46,93,96,2.64
277,Faanui,PF,2022-01-07 20:00:29,-16.4833,-151.75,81.66,76,24,14.2
278,Bambous Virieux,MU,2022-01-07 20:00:30,-20.3428,57.7575,79.21,85,100,6.11
279,Touros,BR,2022-01-07 19:56:54,-5.1989,-35.4608,85.1,68,55,11.88
280,Maceio,BR,2022-01-07 20:00:30,-9.6658,-35.7353,85.44,65,20,18.41
281,Cockburn Town,TC,2022-01-07 20:00:30,21.4612,-71.1419,78.44,66,3,14.16
282,Buraydah,SA,2022-01-07 20:00:31,26.326,43.975,57.07,40,0,6.93
283,Kaeo,NZ,2022-01-07 20:00:31,-35.1,173.7833,66.33,97,58,5.88
284,Coihaique,CL,2022-01-07 19:58:10,-45.5752,-72.0662,75.81,46,75,9.22
285,Kihei,US,2022-01-07 20:00:31,20.785,-156.4656,83.46,83,1,4.0
286,Yulara,AU,2022-01-07 20:00:31,-25.2406,130.9889,65.43,29,0,9.95
